EPL-IN,GC,M/TC,OSs,PGC,Genes
0.0,0.0010073304786394242,0.0024905051279788177,0.0,0.00616526691671589,Cdc20
0.016863256285714286,0.0033914514731831903,0.00656332680847308,0.0010837065058333334,0.0036500955422327226,Cdc42bpg
0.012172367701863354,0.008660053914673784,0.026822461893203885,0.008737041268333334,0.024850568655050198,Cdc42ep2
0.014207618217391305,0.0017975053127466914,0.007734219649602824,0.0,0.00800443097223863,Cdc42ep5
0.0,0.00035890637137218483,0.0,0.0,0.0028468711458948612,Cdc6
0.0,0.0,0.0024417616275375113,0.0,0.0,Cdca5
0.018644330142857143,0.12257486403842585,0.025628038952338922,0.010260162830833334,0.2583743670567042,Cdca7
0.01579774702484472,0.04405954278407241,0.010341272629302733,0.0019297834941666666,0.10094990957590078,Cdca7l
0.0,0.00020376301358254007,0.0,0.0024293109533333333,0.0013989507336089782,Cdh1
0.10283260633540373,0.01649944093684699,0.0374717731482789,0.007859468456666666,0.023012403552274064,Cdh11
0.1022305005652174,0.046301716418040394,0.03612184625507502,0.00678996627,0.1446401855581807,Cdh12
0.49332872655900617,0.022859085552704893,0.15398373832391885,0.010567520881666665,0.06618594876845836,Cdh13
0.0,0.015148232903761319,0.0063875477722859664,0.0009692235966666667,0.008349576565268755,Cdh15
0.0,0.02914390506512655,0.007766300688437775,0.0018369728874999998,0.022054536035440046,Cdh18
0.04207306702484472,0.0031678818325980964,0.025452987048543686,0.0,0.004345544731246308,Cdh23
0.0,0.0008349048683538425,0.0,0.0023019467050000002,0.0,Cdh24
0.0,0.0013210003451358254,0.006456526095322154,0.0,0.0011797636869462494,Cdh3
0.04745499945962733,0.06963867246134203,0.2244216432347749,0.027860901880833334,0.07861992824453633,Cdh4
0.0,0.004017942866612491,0.0035398276513680495,0.0,0.023280733249852338,Cdh6
0.13135448007453418,0.013613354170884604,0.009242723873786409,0.004275175136666667,0.01758709258003544,Cdh7
0.043791259677018635,0.018113138796842343,0.04983904076963814,0.001828064085,0.014083410036621382,Cdh8
0.007349450291925465,0.008103177176108664,0.0010754570944395412,0.002362267085833333,0.0,Cdh9
0.13591980792546585,0.05382081756384954,2.1931390410114724,0.05853646607166667,0.054746672211458944,Cdhr1
0.0,0.0037830906321105174,0.012035124220653134,0.0020174481391666667,0.003251489011222682,Cdhr3
0.6207673188260868,0.2363618352108194,0.4206654214677846,0.0337804510175,0.23697539841642035,Cdipt
0.04877366729192546,0.00390845112189459,0.014650323146513683,0.002351039358333333,0.0028395414146485526,Cdk18
0.0,0.001577675299860692,0.031356090879082074,0.0014197717666666666,0.002517764239220319,Cdk6
0.0,0.00920796712201068,0.02085547979435128,0.0,0.007706066783225044,Cdkl1
0.027140985447204967,0.026860151030996055,0.0802857881809356,0.01612586649166667,0.03072127511872416,Cdkl2
0.03634764960248447,0.0009186565444625029,0.002236337571050309,0.0,0.0010369819645599527,Cdkl4
0.03160259726708074,0.28376453857429756,0.07873782810238306,0.04903757644333335,0.16476423959125822,Cdkn1a
0.07276074701863354,0.21086640560517775,0.11245218164518976,0.041014439934166674,0.680676465998228,Cdkn1b
0.0,0.005110931771999073,0.01815438260370697,0.0,0.0021957194465445956,Cdkn1c
0.0,0.0006975722320640817,0.0005418940653133275,0.005815164425833334,0.0013487658889545185,Cdnf
0.034680061347826086,0.011543196382865103,0.009353941856134158,0.0,0.0084987548747785,Cdon
0.017663462708074534,0.00597548739377757,0.007729888648720212,0.0,0.003907686525694035,Cdr2
0.0,0.00019855763060134664,0.0,0.0014197717666666666,0.0,Cdrt4
